
Timestamp              CPU USAGE (%)       
2024-03-30 15:24:03       39 
2024-03-30 15:24:03       56.2 
2024-03-30 15:24:04       26.8 
2024-03-30 15:24:04       33.3 
2024-03-30 15:24:04       54.5 
2024-03-30 15:24:04       31.1 
2024-03-30 15:24:04       26 
2024-03-30 15:24:05       36.7 
2024-03-30 15:24:05       25 
2024-03-30 15:24:05       31.5 
2024-03-30 15:24:05       62.2 
2024-03-30 15:24:05       57.1 
2024-03-30 15:24:06       54 
2024-03-30 15:24:06       44.2 
2024-03-30 15:24:06       20.7 
2024-03-30 15:24:06       38.9 
2024-03-30 15:24:06       40.8 
2024-03-30 15:24:07       43.4 
2024-03-30 15:24:07       28.2 
2024-03-30 15:24:07       29.8 
2024-03-30 15:24:07       44.4 
2024-03-30 15:24:07       25.5 
2024-03-30 15:24:08       25.8 
2024-03-30 15:24:08       17.9 
2024-03-30 15:24:08       28.1 
2024-03-30 15:24:08       22.6 
2024-03-30 15:24:08       54.3 
2024-03-30 15:24:08       27.3 
2024-03-30 15:24:09       51.2 
2024-03-30 15:24:09       41.5 
2024-03-30 15:24:09       68.2 
2024-03-30 15:24:09       23.6 
2024-03-30 15:24:10       29.4 
2024-03-30 15:24:10       60.8 
2024-03-30 15:24:10       29.1 
2024-03-30 15:24:10       66 
2024-03-30 15:24:11       60.5 
2024-03-30 15:24:11       47.8 
2024-03-30 15:24:11       42.9 
2024-03-30 15:24:11       61.5 
2024-03-30 15:24:11       63.3 
2024-03-30 15:24:12       20.8 
2024-03-30 15:24:12       24 
2024-03-30 15:24:12       54.5 
2024-03-30 15:24:12       27.9 
2024-03-30 15:24:12       36.5 
2024-03-30 15:24:13       19.7 
2024-03-30 15:24:13       26.4 
2024-03-30 15:24:13       34.7 
2024-03-30 15:24:13       15 
2024-03-30 15:24:13       52 
2024-03-30 15:24:14       31.2 
2024-03-30 15:24:14       34 
2024-03-30 15:24:14       52.2 
2024-03-30 15:24:14       37.8 
2024-03-30 15:24:14       56.8 
2024-03-30 15:32:33       6.2 
2024-03-30 15:32:34       3.5 
2024-03-30 15:32:36       12.3 
2024-03-30 15:32:37       7.1 
2024-03-30 15:32:38       27.1 
2024-03-30 15:33:33       7.8 
2024-03-30 15:33:34       37.3 
2024-03-30 15:33:36       11.8 
2024-03-30 15:33:37       8.2 
2024-03-30 15:33:38       19 
2024-03-30 15:37:51       12.5 
2024-03-30 15:37:53       7.3 
2024-03-30 15:37:54       9.7 
2024-03-30 15:37:55       9.8 
2024-03-30 15:37:56       13.6 
2024-03-30 15:59:16       20.4 
2024-03-30 15:59:17       1.7 
2024-03-30 15:59:18       2.5 
2024-03-30 15:59:19       31.9 
2024-03-30 15:59:21       1.6 
2024-03-30 15:59:33       18.6 
2024-03-30 15:59:34       21.7 
2024-03-30 15:59:35       6.3 
